1,10.141.251.47,swissthree_25,20170615104740,8.498802
2,10.141.251.47,swissthree_25,20170615104742,7.794195
3,10.141.251.47,swissthree_25,20170615104744,7.763203
4,10.141.251.47,swissthree_25,20170615104746,7.755307
5,10.141.251.47,swissthree_25,20170615104748,7.753602
6,10.141.251.47,swissthree_25,20170615104750,9.150911
7,10.141.251.47,swissthree_25,20170615104752,9.124875
8,10.141.251.47,swissthree_25,20170615104754,9.012917
9,10.141.251.47,swissthree_25,20170615104756,9.022765
10,10.141.251.47,swissthree_25,20170615104758,9.065235
11,10.141.251.47,swissthree_25,20170615104800,9.015075
12,10.141.251.47,swissthree_25,20170615104802,9.075003
13,10.141.251.47,swissthree_25,20170615104804,9.089126
14,10.141.251.47,swissthree_25,20170615104806,9.016788
15,10.141.251.47,swissthree_25,20170615104808,6.585674
16,10.141.251.47,swissthree_25,20170615104810,6.584113
17,10.141.251.47,swissthree_25,20170615104812,6.583395
18,10.141.251.47,swissthree_25,20170615104814,6.58465
19,10.141.251.47,swissthree_25,20170615104815,7.459795
20,10.141.251.47,swissthree_25,20170615104817,7.443412
21,10.141.251.47,swissthree_25,20170615104819,7.435432
22,10.141.251.47,swissthree_25,20170615104821,7.448327
23,10.141.251.47,swissthree_25,20170615104823,7.448994
24,10.141.251.47,swissthree_25,20170615104825,7.430101
25,10.141.251.47,swissthree_25,20170615104827,5.348128
26,10.141.251.47,swissthree_25,20170615104829,5.33499
27,10.141.251.47,swissthree_25,20170615104831,5.253841
28,10.141.251.47,swissthree_25,20170615104833,5.182326
29,10.141.251.47,swissthree_25,20170615104835,5.155151
30,10.141.251.47,swissthree_25,20170615104837,5.148523
31,10.141.251.47,swissthree_25,20170615104839,4.978648
32,10.141.251.47,swissthree_25,20170615104841,5.003733
33,10.141.251.47,swissthree_25,20170615104843,5.017107
34,10.141.251.47,swissthree_25,20170615104845,5.027419
35,10.141.251.47,swissthree_25,20170615104847,3.705649
36,10.141.251.47,swissthree_25,20170615104849,3.70594
37,10.141.251.47,swissthree_25,20170615104851,3.700375
38,10.141.251.47,swissthree_25,20170615104853,3.703483
39,10.141.251.47,swissthree_25,20170615104855,6.199338
40,10.141.251.47,swissthree_25,20170615104857,6.192493
41,10.141.251.47,swissthree_25,20170615104859,6.200586
