5989,192.168.1.8,jpfc,20170623233806,17.19,1
5990,192.168.1.8,jpfc,20170623233808,16.30,0
5991,192.168.1.8,jpfc,20170623233810,15.20,0
5992,192.168.1.8,jpfc,20170623233812,16.58,1
5993,192.168.1.8,jpfc,20170623233814,17.32,0
5994,192.168.1.8,jpfc,20170623233816,16.67,0
5995,192.168.1.8,jpfc,20170623233816,16.67,0
5996,192.168.1.8,jpfc,20170623233818,17.01,1
5997,192.168.1.8,jpfc,20170623234120,32.71,7
5998,192.168.1.8,jpfc,20170623234122,32.71,7
5999,192.168.1.8,jpfc,20170623234125,18.80,7
6000,192.168.1.8,jpfc,20170623234127,21.25,7
6001,192.168.1.8,jpfc,20170623234129,21.98,6
6002,192.168.1.8,jpfc,20170623234131,21.44,6
6003,192.168.1.8,jpfc,20170623234132,7.97,6
6004,192.168.1.8,jpfc,20170623234134,13.04,7
6005,192.168.1.8,jpfc,20170623234137,13.12,7
6006,192.168.1.8,jpfc,20170623234139,32.71,6
6007,192.168.1.8,jpfc,20170623234141,15.37,30
6008,192.168.1.8,jpfc,20170623234145,10.93,3
6009,192.168.1.8,jpfc,20170623234145,10.93,3
6010,192.168.1.8,jpfc,20170623234147,7.00,3
6011,192.168.1.8,jpfc,20170623234149,8.86,7
6012,192.168.1.8,jpfc,20170623234149,8.86,7
6013,192.168.1.8,jpfc,20170623234151,9.72,8
6014,192.168.1.8,jpfc,20170623234155,4.76,6
6015,192.168.1.8,jpfc,20170623234159,5.91,7
6016,192.168.1.8,jpfc,20170623234201,3.50,7
6017,192.168.1.8,jpfc,20170623234203,32.70,7
6018,192.168.1.8,jpfc,20170623234205,31.09,8
6019,192.168.1.8,jpfc,20170623234208,25.53,8
6020,192.168.1.8,jpfc,20170623234210,21.66,7
6021,192.168.1.8,jpfc,20170623234212,18.38,7
6022,192.168.1.8,jpfc,20170623234214,29.09,7
6023,192.168.1.8,jpfc,20170623234216,32.69,7
6024,192.168.1.8,jpfc,20170623234218,32.63,8
6025,192.168.1.8,jpfc,20170623234220,24.82,7
6026,192.168.1.8,jpfc,20170623234222,21.23,7
6027,192.168.1.8,jpfc,20170623234224,19.45,7
6028,192.168.1.8,jpfc,20170623234226,17.34,7
6029,192.168.1.8,jpfc,20170623234228,15.50,8
6030,192.168.1.8,jpfc,20170623234230,21.30,7
6031,192.168.1.8,jpfc,20170623234232,32.69,8
6032,192.168.1.8,jpfc,20170623234234,19.47,7
6033,192.168.1.8,jpfc,20170623234238,7.22,7
6034,192.168.1.8,jpfc,20170623234240,7.17,7
6035,192.168.1.8,jpfc,20170623234244,12.70,5
