1,0.0,13:03:24,192.168.1.7
2,0.0,13:03:28,192.168.1.7
3,0.0,13:03:32,192.168.1.7
4,0.0,13:03:35,192.168.1.7
5,0.0,13:03:43,192.168.1.7
6,0.0,13:03:47,192.168.1.7
7,0.0,13:03:53,192.168.1.7
8,0.0,13:03:58,192.168.1.7
9,0.0,13:04:03,192.168.1.7
10,0.0,13:04:14,192.168.1.7
11,0.0,13:04:21,192.168.1.7
12,0.0,13:04:25,192.168.1.7
13,0.0,13:04:31,192.168.1.7
14,0.0,13:04:36,192.168.1.7
15,0.0,13:04:40,192.168.1.7
16,0.0,13:04:44,192.168.1.7
17,0.0,13:04:51,192.168.1.7
18,0.0,13:04:59,192.168.1.7
19,2.58,13:05:02,192.168.1.7
20,0.0,13:05:05,192.168.1.7
21,0.0,13:05:11,192.168.1.7
22,0.0,13:05:16,192.168.1.7
23,0.0,13:05:27,192.168.1.7
24,0.0,13:05:36,192.168.1.7
25,0.0,13:05:44,192.168.1.7
26,0.0,13:05:49,192.168.1.7
27,0.36,13:05:53,192.168.1.7
28,0.0,13:06:01,192.168.1.7
29,0.0,13:06:06,192.168.1.7
30,0.0,13:06:14,192.168.1.7
31,0.0,13:06:21,192.168.1.7
32,0.0,13:06:26,192.168.1.7
33,0.0,13:06:31,192.168.1.7
34,0.0,13:06:35,192.168.1.7
35,0.0,13:06:41,192.168.1.7
36,0.0,13:06:50,192.168.1.7
37,11.66,13:07:29,192.168.1.7
38,4.78,13:07:32,192.168.1.7
39,4.02,13:07:35,192.168.1.7
40,0.0,13:07:38,192.168.1.7
41,1.98,13:07:42,192.168.1.7
42,0.4,13:07:46,192.168.1.7
43,0.62,13:07:51,192.168.1.7
44,8.84,13:07:59,192.168.1.7
45,10.12,13:08:07,192.168.1.7
46,8.66,13:08:13,192.168.1.7
47,7.78,13:08:19,192.168.1.7
48,8.24,13:08:25,192.168.1.7
49,8.74,13:08:31,192.168.1.7
50,8.04,13:08:37,192.168.1.7
51,8.02,13:08:44,192.168.1.7
52,7.36,13:08:50,192.168.1.7
53,9.24,13:08:57,192.168.1.7
54,9.12,13:09:04,192.168.1.7
55,8.26,13:09:12,192.168.1.7
56,7.4,13:09:18,192.168.1.7
57,7.78,13:09:24,192.168.1.7
58,9.36,13:09:30,192.168.1.7
59,8.2,13:09:36,192.168.1.7
60,8.12,13:09:44,192.168.1.7
61,8.0,13:09:51,192.168.1.7
62,7.28,13:09:57,192.168.1.7
63,8.7,13:10:04,192.168.1.7
64,7.88,13:10:10,192.168.1.7
65,7.58,13:10:16,192.168.1.7
66,9.36,13:10:22,192.168.1.7
67,9.14,13:10:28,192.168.1.7
68,7.74,13:10:35,192.168.1.7
69,7.42,13:10:41,192.168.1.7
70,7.14,13:10:47,192.168.1.7
71,7.58,13:10:54,192.168.1.7
72,9.02,13:11:01,192.168.1.7
73,7.14,13:11:07,192.168.1.7
74,7.88,13:11:13,192.168.1.7
75,20.42,13:11:20,192.168.1.7
76,100.0,13:11:26,192.168.1.7
77,100.0,13:11:32,192.168.1.7
78,52.36,13:11:39,192.168.1.7
79,9.02,13:11:47,192.168.1.7
80,8.82,13:11:54,192.168.1.7
81,8.32,13:12:00,192.168.1.7
82,8.18,13:12:07,192.168.1.7
83,8.16,13:12:13,192.168.1.7
84,8.72,13:12:19,192.168.1.7
85,8.32,13:12:27,192.168.1.7
86,0.04,18:10:41,192.168.1.7
87,0.0,18:11:16,192.168.1.7
88,0.0,18:11:56,192.168.1.7
89,0.0,18:12:36,192.168.1.7
90,0.0,18:13:06,192.168.1.7
